Time,Actor,Action,Hunger,Energy,Fun,Rel,Pen_Val,Pen_Dom,Hand_Val,Hand_DomTime,Actor,Action,Hunger,Energy,Fun,Rel,Pen_Val,Pen_Dom,Hand_Val,Hand_Dom1.880,penguin,moved to BH,50,50,50,50,0,-1,0,1
3.151,penguin,moved to hill,50,50,50,50,0,-1,0,1
4.450,penguin,moved to BH,49,49,49,50,0,-1,0,1
4.741,player,FREE,49,49,49,50,0,-1,0,1
5.832,player,COMMAND,49,49,49,50,0,-1,0,1
6.779,penguin,moved to balls,49,49,49,50,0,-1,0,1
9.731,penguin,moved to food,48,48,48,50,0,-1,0,1
9.770,penguin,food,58,51,51,50,0.20850000000000002,-0.9664999999999999,0.0835,1.0705
12.744,penguin,moved to balls,57,50,50,50,0.20850000000000002,-0.9664999999999999,0.0835,1.0705
14.834,penguin,moved to hill,57,50,50,50,0.20850000000000002,-0.9664999999999999,0.0835,1.0705
16.729,player,FREE,56,49,49,50,0.20850000000000002,-0.9664999999999999,0.0835,1.0705
17.484,player,COMMAND,56,49,49,50,0.20850000000000002,-0.9664999999999999,0.0835,1.0705
22.437,penguin,moved to cave,55,48,48,50,0.20850000000000002,-0.9664999999999999,0.0835,1.0705
23.276,penguin,moved to matress,55,48,48,50,0.20850000000000002,-0.9664999999999999,0.0835,1.0705
23.315,penguin,matress,55,53,53,50,0.239575,-0.9306749999999998,0.162825,1.137475
26.070,player,FREE,54,52,52,50,0.239575,-0.9306749999999998,0.162825,1.137475
26.904,player,FREE,54,54,45,43,0.02759624999999999,-1.0091412499999999,0.17968374999999998,1.30960125
28.974,player,FREE,53,53,44,43,0.02759624999999999,-1.0091412499999999,0.17968374999999998,1.30960125
29.512,player,FREE,53,53,44,43,0.02759624999999999,-1.0091412499999999,0.17968374999999998,1.30960125
30.198,player,BOOT,53,53,44,43,0.02759624999999999,-1.0091412499999999,0.17968374999999998,1.30960125
30.621,player,BOOT,53,53,44,43,0.02759624999999999,-1.0091412499999999,0.17968374999999998,1.30960125
31.275,player,FREE,53,53,44,43,0.02759624999999999,-1.0091412499999999,0.17968374999999998,1.30960125
31.764,player,BOOT,53,53,44,43,0.02759624999999999,-1.0091412499999999,0.17968374999999998,1.30960125
32.052,penguin,moved to food,53,53,44,43,0.02759624999999999,-1.0091412499999999,0.17968374999999998,1.30960125
33.000,player,BALL,52,52,43,43,0.02759624999999999,-1.0091412499999999,0.17968374999999998,1.30960125
34.616,player,FREE,52,52,43,43,0.02759624999999999,-1.0091412499999999,0.17968374999999998,1.30960125
35.061,penguin,moved to balls,52,52,43,43,0.02759624999999999,-1.0091412499999999,0.17968374999999998,1.30960125
35.100,penguin,balls,49,45,53,43,0.2097164375,-0.8836841874999999,0.17968374999999998,1.30960125
35.141,player,BOOT,49,45,53,43,0.2097164375,-0.8836841874999999,0.17968374999999998,1.30960125
35.509,player,BOOT,49,45,53,43,0.2097164375,-0.8836841874999999,0.17968374999999998,1.30960125
37.021,player,FREE,46,40,58,48,0.199230615625,-0.8394999781249999,0.17069956249999996,1.2441211875
37.229,penguin,moved to hill,45,39,57,48,0.199230615625,-0.8394999781249999,0.17069956249999996,1.2441211875
39.369,penguin,moved to balls,45,39,57,48,0.199230615625,-0.8394999781249999,0.17069956249999996,1.2441211875
41.611,penguin,moved to BH,44,38,56,48,0.199230615625,-0.8394999781249999,0.17069956249999996,1.2441211875
43.398,penguin,moved to FBH,44,38,56,48,0.199230615625,-0.8394999781249999,0.17069956249999996,1.2441211875
45.174,penguin,moved to BH,44,38,56,48,0.199230615625,-0.8394999781249999,0.17069956249999996,1.2441211875
46.442,penguin,moved to hill,43,37,55,48,0.199230615625,-0.8394999781249999,0.17069956249999996,1.2441211875
48.713,penguin,moved to balls,43,37,55,48,0.199230615625,-0.8394999781249999,0.17069956249999996,1.2441211875
51.170,penguin,moved to hill,42,36,54,48,0.199230615625,-0.8394999781249999,0.17069956249999996,1.2441211875
51.799,player,FREE,42,36,54,48,0.199230615625,-0.8394999781249999,0.17069956249999996,1.2441211875
52.534,penguin,moved to BH,42,36,54,48,0.199230615625,-0.8394999781249999,0.17069956249999996,1.2441211875
52.796,player,FREE,47,36,57,51,0.40176908484375,-0.8185249792187499,0.2911645843749999,1.285915128125
54.959,penguin,moved to balls,46,35,56,51,0.40176908484375,-0.8185249792187499,0.2911645843749999,1.285915128125
55.310,player,FREE,46,35,56,51,0.40176908484375,-0.8185249792187499,0.2911645843749999,1.285915128125
56.087,player,FREE,45,37,61,55,0.4606806306015625,-0.7815987302578123,0.43060635515624995,1.39661937171875
57.224,penguin,moved to hill,45,37,61,55,0.4606806306015625,-0.7815987302578123,0.43060635515624995,1.39661937171875
65.266,penguin,moved to cave,43,35,59,55,0.4606806306015625,-0.7815987302578123,0.43060635515624995,1.39661937171875
65.992,penguin,moved to CM,43,35,59,55,0.4606806306015625,-0.7815987302578123,0.43060635515624995,1.39661937171875
66.729,penguin,moved to cave,43,35,59,55,0.4606806306015625,-0.7815987302578123,0.43060635515624995,1.39661937171875
67.615,penguin,moved to matress,42,34,58,55,0.4606806306015625,-0.7815987302578123,0.43060635515624995,1.39661937171875
68.423,penguin,moved to CM,42,34,58,55,0.4606806306015625,-0.7815987302578123,0.43060635515624995,1.39661937171875
69.153,penguin,moved to cave,42,34,58,55,0.4606806306015625,-0.7815987302578123,0.43060635515624995,1.39661937171875
70.044,penguin,moved to matress,42,34,58,55,0.4606806306015625,-0.7815987302578123,0.43060635515624995,1.39661937171875
